Planning_Priority,LGA_Count,Population,Underserved,Mean_Underserved_Pct
High Priority,2,1275186.0903734947,667151.6770244063,52.400000000000006
Lower Priority,5,1991556.0396432134,231994.7330014152,8.822
Moderate Priority,8,6133812.680696795,2483887.1090412354,38.37125
Very High Priority,5,2203907.1157778525,2015243.1711126924,94.26599999999999
