Indicator,Population,Percent
Within_5_min,378349,3.2577448983871182
Within_10_min,1345625,11.586384741762721
Within_15_min,2557672,22.022611948983688
Within_30_min,6206185,53.437821588714385
Underserved_over_30min_or_network_gap,5407659,46.562178411285664
